Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu04512:ECM-receptor interaction	40	1.665972511453561	7.837812480185115E-17	ENSMUST00000021107, ENSMUST00000091137, ENSMUST00000171332, ENSMUST00000022213, ENSMUST00000103086, ENSMUST00000035471, ENSMUST00000112931, ENSMUST00000107372, ENSMUST00000030056, ENSMUST00000107371, ENSMUST00000031668, ENSMUST00000092070, ENSMUST00000036019, ENSMUST00000027753, ENSMUST00000028106, ENSMUST00000105574, ENSMUST00000056925, ENSMUST00000100941, ENSMUST00000071708, ENSMUST00000001181, ENSMUST00000015791, ENSMUST00000085164, ENSMUST00000170872, ENSMUST00000165165, ENSMUST00000168533, ENSMUST00000001147, ENSMUST00000019992, ENSMUST00000002979, ENSMUST00000113457, ENSMUST00000030372, ENSMUST00000001547, ENSMUST00000056117, ENSMUST00000112254, ENSMUST00000108590, ENSMUST00000055226, ENSMUST00000098441, ENSMUST00000161356, ENSMUST00000039559, ENSMUST00000088349, ENSMUST00000101205, ENSMUST00000082367, ENSMUST00000044165, ENSMUST00000029682	911	88	8977	4.479093902804111	3.68594044175552E-14	2.6021537434214583E-14	2.2572899942933134E-14
KEGG_PATHWAY	mmu04974:Protein digestion and absorption	33	1.3744273219491878	1.2579363736991965E-8	ENSMUST00000044565, ENSMUST00000072755, ENSMUST00000096066, ENSMUST00000036300, ENSMUST00000029848, ENSMUST00000112931, ENSMUST00000110221, ENSMUST00000031668, ENSMUST00000009689, ENSMUST00000106001, ENSMUST00000031806, ENSMUST00000056925, ENSMUST00000082235, ENSMUST00000121227, ENSMUST00000001181, ENSMUST00000022787, ENSMUST00000165165, ENSMUST00000001147, ENSMUST00000097464, ENSMUST00000072103, ENSMUST00000092155, ENSMUST00000113457, ENSMUST00000030372, ENSMUST00000001547, ENSMUST00000077775, ENSMUST00000024707, ENSMUST00000111243, ENSMUST00000081654, ENSMUST00000029400, ENSMUST00000086923, ENSMUST00000115244, ENSMUST00000098441, ENSMUST00000106353, ENSMUST00000088349, ENSMUST00000101205	911	108	8977	3.010946456884986	4.17634007787715E-6	2.088174380340666E-6	1.811428378126843E-6
KEGG_PATHWAY	mmu04510:Focal adhesion	48	1.9991670137442734	2.6724909800778348E-8	ENSMUST00000022213, ENSMUST00000112931, ENSMUST00000023072, ENSMUST00000034912, ENSMUST00000027753, ENSMUST00000100941, ENSMUST00000023538, ENSMUST00000110529, ENSMUST00000165165, ENSMUST00000000476, ENSMUST00000002979, ENSMUST00000056117, ENSMUST00000055226, ENSMUST00000098441, ENSMUST00000005611, ENSMUST00000161356, ENSMUST00000039559, ENSMUST00000084488, ENSMUST00000034909, ENSMUST00000029682, ENSMUST00000021107, ENSMUST00000040025, ENSMUST00000103086, ENSMUST00000020617, ENSMUST00000035471, ENSMUST00000107372, ENSMUST00000030056, ENSMUST00000107371, ENSMUST00000031668, ENSMUST00000092070, ENSMUST00000168039, ENSMUST00000028106, ENSMUST00000106640, ENSMUST00000056925, ENSMUST00000106643, ENSMUST00000001181, ENSMUST00000015791, ENSMUST00000170792, ENSMUST00000088552, ENSMUST00000021898, ENSMUST00000170872, ENSMUST00000168533, ENSMUST00000001147, ENSMUST00000000058, ENSMUST00000019992, ENSMUST00000113457, ENSMUST00000030372, ENSMUST00000001547, ENSMUST00000112254, ENSMUST00000115443, ENSMUST00000088349, ENSMUST00000101205, ENSMUST00000044165, ENSMUST00000128869	911	201	8977	2.3531956026672343	8.872630823608674E-6	2.9575566846194706E-6	2.5655913408747216E-6
KEGG_PATHWAY	mmu02010:ABC transporters	21	0.8746355685131195	5.732216998882455E-8	ENSMUST00000042740, ENSMUST00000043961, ENSMUST00000045714, ENSMUST00000100287, ENSMUST00000044850, ENSMUST00000044003, ENSMUST00000020948, ENSMUST00000033123, ENSMUST00000026208, ENSMUST00000003717, ENSMUST00000045706, ENSMUST00000167360, ENSMUST00000027396, ENSMUST00000035515, ENSMUST00000076272, ENSMUST00000100827, ENSMUST00000124714, ENSMUST00000021231, ENSMUST00000013995, ENSMUST00000046223, ENSMUST00000102710, ENSMUST00000084640, ENSMUST00000087268	911	52	8977	3.9795026597990377	1.9030779901396677E-5	4.757740109072437E-6	4.127196239195368E-6
KEGG_PATHWAY	mmu04151:PI3K-Akt signaling pathway	70	2.9154518950437316	8.705407430775469E-8	ENSMUST00000091679, ENSMUST00000025523, ENSMUST00000022213, ENSMUST00000170901, ENSMUST00000112931, ENSMUST00000000033, ENSMUST00000027753, ENSMUST00000079828, ENSMUST00000060441, ENSMUST00000100941, ENSMUST00000110529, ENSMUST00000165165, ENSMUST00000000476, ENSMUST00000002979, ENSMUST00000059672, ENSMUST00000110369, ENSMUST00000032371, ENSMUST00000056117, ENSMUST00000055226, ENSMUST00000098441, ENSMUST00000117687, ENSMUST00000161356, ENSMUST00000039559, ENSMUST00000032968, ENSMUST00000029682, ENSMUST00000021107, ENSMUST00000132728, ENSMUST00000121473, ENSMUST00000103086, ENSMUST00000018012, ENSMUST00000020617, ENSMUST00000055087, ENSMUST00000035471, ENSMUST00000000889, ENSMUST00000029674, ENSMUST00000026241, ENSMUST00000029673, ENSMUST00000161561, ENSMUST00000107372, ENSMUST00000030056, ENSMUST00000107371, ENSMUST00000031668, ENSMUST00000028663, ENSMUST00000092070, ENSMUST00000107571, ENSMUST00000168039, ENSMUST00000029712, ENSMUST00000028106, ENSMUST00000056925, ENSMUST00000088516, ENSMUST00000120135, ENSMUST00000001181, ENSMUST00000015791, ENSMUST00000109838, ENSMUST00000002839, ENSMUST00000024206, ENSMUST00000170872, ENSMUST00000001147, ENSMUST00000168533, ENSMUST00000017290, ENSMUST00000124470, ENSMUST00000019992, ENSMUST00000076840, ENSMUST00000113457, ENSMUST00000030372, ENSMUST00000001547, ENSMUST00000112254, ENSMUST00000115443, ENSMUST00000120509, ENSMUST00000088349, ENSMUST00000153166, ENSMUST00000061047, ENSMUST00000101205, ENSMUST00000084027, ENSMUST00000044165	911	359	8977	1.9213940418714015	2.8901536262337935E-5	4.994747183086209E-6	4.332792737135024E-6
KEGG_PATHWAY	mmu05414:Dilated cardiomyopathy	29	1.2078300708038316	9.026651535697968E-8	ENSMUST00000021107, ENSMUST00000149068, ENSMUST00000170223, ENSMUST00000101581, ENSMUST00000169776, ENSMUST00000103086, ENSMUST00000037434, ENSMUST00000103162, ENSMUST00000114913, ENSMUST00000111846, ENSMUST00000109150, ENSMUST00000109095, ENSMUST00000115726, ENSMUST00000035471, ENSMUST00000112068, ENSMUST00000099981, ENSMUST00000028106, ENSMUST00000114000, ENSMUST00000107913, ENSMUST00000102760, ENSMUST00000021750, ENSMUST00000168532, ENSMUST00000112825, ENSMUST00000112249, ENSMUST00000114723, ENSMUST00000117801, ENSMUST00000056117, ENSMUST00000081857, ENSMUST00000022013, ENSMUST00000087877, ENSMUST00000044165	911	94	8977	3.04006586169045	2.996803540600279E-5	4.994747183086209E-6	4.332792737135024E-6
KEGG_PATHWAY	mmu04020:Calcium signaling pathway	52	2.165764264889629	1.8642064327220537E-7	ENSMUST00000170223, ENSMUST00000113749, ENSMUST00000109095, ENSMUST00000115726, ENSMUST00000110116, ENSMUST00000112068, ENSMUST00000107790, ENSMUST00000106388, ENSMUST00000079828, ENSMUST00000032813, ENSMUST00000023538, ENSMUST00000110529, ENSMUST00000170774, ENSMUST00000021750, ENSMUST00000000476, ENSMUST00000112825, ENSMUST00000095762, ENSMUST00000006104, ENSMUST00000117801, ENSMUST00000169713, ENSMUST00000022013, ENSMUST00000160424, ENSMUST00000087877, ENSMUST00000018610, ENSMUST00000044505, ENSMUST00000044306, ENSMUST00000121473, ENSMUST00000112831, ENSMUST00000121390, ENSMUST00000020617, ENSMUST00000026241, ENSMUST00000108340, ENSMUST00000004214, ENSMUST00000038856, ENSMUST00000032356, ENSMUST00000168039, ENSMUST00000029712, ENSMUST00000091818, ENSMUST00000109838, ENSMUST00000088790, ENSMUST00000103077, ENSMUST00000070864, ENSMUST00000110109, ENSMUST00000011152, ENSMUST00000115835, ENSMUST00000112249, ENSMUST00000052012, ENSMUST00000115443, ENSMUST00000088429, ENSMUST00000036303, ENSMUST00000153166, ENSMUST00000021141, ENSMUST00000084027, ENSMUST00000102655, ENSMUST00000081232, ENSMUST00000027560	911	240	8977	2.1350347603366266	6.18897440806121E-5	8.841664795196027E-6	7.669877894627879E-6
KEGG_PATHWAY	mmu05412:Arrhythmogenic right ventricular cardiomyopathy	25	1.0412328196584755	2.9405205824106205E-7	ENSMUST00000021107, ENSMUST00000149068, ENSMUST00000101581, ENSMUST00000103086, ENSMUST00000037434, ENSMUST00000103162, ENSMUST00000159626, ENSMUST00000109150, ENSMUST00000115726, ENSMUST00000035471, ENSMUST00000112068, ENSMUST00000028106, ENSMUST00000114000, ENSMUST00000064204, ENSMUST00000124830, ENSMUST00000102760, ENSMUST00000021750, ENSMUST00000111657, ENSMUST00000168532, ENSMUST00000112825, ENSMUST00000112249, ENSMUST00000114723, ENSMUST00000056117, ENSMUST00000025166, ENSMUST00000044165	911	77	8977	3.1993527877172223	9.76205325009527E-5	1.2203160417004075E-5	1.0585874096678233E-5
KEGG_PATHWAY	mmu04911:Insulin secretion	25	1.0412328196584755	2.7301125019680746E-6	ENSMUST00000126226, ENSMUST00000065788, ENSMUST00000119970, ENSMUST00000170223, ENSMUST00000114913, ENSMUST00000109095, ENSMUST00000115726, ENSMUST00000110116, ENSMUST00000112068, ENSMUST00000028663, ENSMUST00000082054, ENSMUST00000042194, ENSMUST00000090826, ENSMUST00000102920, ENSMUST00000021750, ENSMUST00000097464, ENSMUST00000033123, ENSMUST00000112825, ENSMUST00000110109, ENSMUST00000000811, ENSMUST00000030691, ENSMUST00000112249, ENSMUST00000117801, ENSMUST00000111243, ENSMUST00000022013, ENSMUST00000087877	911	86	8977	2.8645367983049552	9.059879328174869E-4	1.0071081673926674E-4	8.736360006297839E-5
KEGG_PATHWAY	mmu05410:Hypertrophic cardiomyopathy	25	1.0412328196584755	8.011539923837129E-6	ENSMUST00000021107, ENSMUST00000149068, ENSMUST00000101581, ENSMUST00000169776, ENSMUST00000103086, ENSMUST00000037434, ENSMUST00000103162, ENSMUST00000111846, ENSMUST00000109150, ENSMUST00000115726, ENSMUST00000035471, ENSMUST00000112068, ENSMUST00000099981, ENSMUST00000028106, ENSMUST00000114000, ENSMUST00000107913, ENSMUST00000102760, ENSMUST00000021750, ENSMUST00000168532, ENSMUST00000112825, ENSMUST00000112249, ENSMUST00000114723, ENSMUST00000030784, ENSMUST00000056117, ENSMUST00000081857, ENSMUST00000044165	911	91	8977	2.7071446665299574	0.0026563076641454852	2.659831254713927E-4	2.3073234980650932E-4
